unit_id,cip4,earn_mdn_4yr,earn_n
143048.0,5007,45602.0,368.0
236939.0,4201,56681.0,368.0
139931.0,5202,74726.0,367.0
154022.0,5210,65002.0,367.0
110583.0,5202,67853.0,367.0
184782.0,2401,53266.0,367.0
139940.0,0904,54732.0,367.0
228778.0,0909,80221.0,366.0
139940.0,5214,67872.0,366.0
187985.0,4201,46693.0,364.0
193016.0,5202,64963.0,364.0
100751.0,5202,69715.0,364.0
460349.0,5202,59186.0,364.0
217235.0,5202,59186.0,364.0
445708.0,5202,59186.0,364.0
110671.0,4227,49947.0,364.0
104179.0,4201,52038.0,363.0
212984.0,5138,95869.0,363.0
129941.0,4301,60656.0,362.0
171146.0,5138,86401.0,362.0
142522.0,2401,41106.0,362.0
153603.0,5004,52671.0,362.0
201885.0,5138,85551.0,361.0
134097.0,4509,63984.0,361.0
220862.0,3105,50126.0,361.0
110680.0,2602,72491.0,361.0
110529.0,5209,57114.0,361.0
229027.0,3105,54399.0,360.0
220862.0,3099,49707.0,359.0
144740.0,5203,93592.0,359.0
169248.0,4201,53422.0,358.0
110644.0,5206,87455.0,358.0
228644.0,5138,83317.0,358.0
153603.0,0101,67529.0,358.0
182281.0,4301,57556.0,358.0
232186.0,2401,61100.0,357.0
190503.0,5209,58165.0,357.0
174066.0,0904,66799.0,356.0
122409.0,5214,81368.0,356.0
234030.0,1313,59442.0,356.0
216366.0,5138,99839.0,355.0
190549.0,5203,64103.0,354.0
216339.0,1101,101670.0,354.0
163046.0,5202,93753.0,354.0
204848.0,1312,43893.0,353.0
204820.0,1312,43893.0,353.0
204857.0,1312,43893.0,353.0
204802.0,1312,43893.0,353.0
